Boiler Load (MW),Inlet NOx (mg/m³),Inlet O₂ (%),Flue Gas Flow (m³/h),NH₃ Flow (kg/h),Flue Gas Temp (°C),Coal Feed Rate (t/h),NOx Emission (mg/m³)
742.1947154,306.6608252,168.4370338,67.84510005,4.130581942,353.5620887,1329.790535,35.98106739
742.1855177,305.9215706,167.9564854,69.39972155,4.300484133,353.5616441,1329.072865,36.47867064
742.1757532,304.9217721,166.0362727,67.97795175,4.250741446,353.562566,1332.687475,34.99290966
742.2007036,304.1209636,167.2857503,68.59284714,4.332664646,353.5613237,1337.074058,33.25593091
742.3530879,305.4091799,167.9556174,68.26522664,4.288931572,353.5608575,1326.625424,36.29979514
742.6958441,304.9100739,168.0793683,68.56686028,4.376636874,353.5608575,1327.522521,36.19424485
743.0378168,304.4734729,168.8351141,68.6237125,4.377009577,353.5608575,1322.584315,34.85756557
743.0364828,304.342017,169.4262448,68.61100383,4.406019118,353.5608575,1325.824073,34.66322717
743.2092822,304.3808491,171.915289,69.66553616,4.461117492,353.5608575,1321.229672,35.6656065
743.2094558,304.6406716,174.3985314,70.55805688,4.442416797,353.5608575,1327.130224,35.83122761
742.8660819,304.8191493,175.6699989,71.01192357,4.395805354,353.5608575,1325.537805,34.63117016
742.8673877,305.1189506,175.0604407,70.69378258,4.376896418,353.5608575,1325.85044,34.90272899
743.0377899,305.4426397,175.9245912,71.56121577,4.368288467,353.5608575,1316.385964,36.02613476
743.0377045,305.7867715,174.887362,71.21617851,4.362308638,353.5608575,1312.20259,35.05171465
743.3815392,306.128817,170.4427285,69.13708582,4.345523622,353.5608575,1298.370994,33.61349237
743.72299,306.5409571,165.7301911,67.7176198,4.305535776,353.5380574,1296.91045,33.63277217
743.5510719,305.0317408,163.1361765,66.81383708,4.270153126,353.5152577,1296.724807,33.29288482
743.7234331,301.5562502,159.5153584,64.95268073,4.263933391,353.4924578,1299.977814,31.69857597
743.722912,297.4247456,155.6164482,63.24604237,4.202017732,353.4696579,1301.620162,30.73087967
743.5521271,296.3472973,153.6977562,62.51823368,4.112224995,353.4468579,1310.674049,30.60074781
743.2082,296.0385564,152.9792084,62.15038652,4.057694988,353.4468579,1304.263219,30.11516216
743.0374258,297.1087822,152.7522388,61.95332736,4.04028348,353.4468579,1309.134991,29.71203763
742.8671608,300.8557982,154.1231386,62.42311003,3.994521493,353.4468579,1307.163787,29.9793961
742.5231768,306.5435063,156.0893715,63.0949392,3.969292154,353.4240578,1305.108578,29.92970552
741.8378016,309.478529,157.4762116,63.22479006,3.971141701,353.401258,1317.018317,30.03080805
741.4960632,310.8032279,161.2432596,64.60222274,4.022305461,353.3784582,1319.566,30.40341705
740.9820522,312.0951009,172.1298733,69.8412337,4.053878824,353.3556582,1317.785956,31.32128346
740.8125126,313.1580996,183.4948518,73.68440933,4.070691653,353.3328583,1312.219769,33.02048639
740.295325,313.876013,194.5114694,78.94177651,4.195402989,353.3328583,1309.703585,34.84948803
